Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,"in humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. fungi can live in the air, soil, water, and plants. there are also some fungi that live naturally in the human body. like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,"in humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. fungi can live in the air, soil, water, and plants. there are also some fungi that live naturally in the human body. like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,"in humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. fungi can live in the air, soil, water, and plants. there are also some fungi that live naturally in the human body. like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,"in humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. fungi can live in the air, soil, water, and plants. there are also some fungi that live naturally in the human body. like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,"in humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. fungi can live in the air, soil, water, and plants. there are also some fungi that live naturally in the human body. like many microbes, there are helpful fungi and harmful fungi.",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching
allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,"an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine,cover area with bandage,,use ice to compress itching
